"DisplayName","DisplayVersion","InstallLocation"
"Microsoft.Maui.Controls.Ref.win","6.0.536",""
"Microsoft.Maui.Controls.Runtime.android","6.0.536",""
"Microsoft.Maui.Controls.Runtime.any","6.0.536",""
"Microsoft.Maui.Controls.Runtime.ios","6.0.536",""
"Microsoft.Maui.Controls.Runtime.maccatalyst","6.0.536",""
"Microsoft.Maui.Controls.Runtime.win","6.0.536",""
"Microsoft.Maui.Core.Ref.android","6.0.536",""
"Microsoft.Maui.Core.Ref.any","6.0.536",""
"Microsoft.Maui.Core.Ref.ios","6.0.536",""
"Microsoft.Maui.Core.Ref.maccatalyst","6.0.536",""
"Microsoft.Maui.Core.Ref.win","6.0.536",""
"Microsoft.Maui.Core.Runtime.android","6.0.536",""
"Microsoft.Maui.Core.Runtime.any","6.0.536",""
"Microsoft.Maui.Core.Runtime.ios","6.0.536",""
"Microsoft.Maui.Core.Runtime.maccatalyst","6.0.536",""
"Microsoft.Maui.Core.Runtime.win","6.0.536",""
"Microsoft.Maui.Dependencies","6.0.536",""
"Microsoft.Maui.Essentials.Ref.android","6.0.536",""
"Microsoft.Maui.Essentials.Ref.any","6.0.536",""
"Microsoft.Maui.Essentials.Ref.ios","6.0.536",""
"Microsoft.Maui.Essentials.Ref.maccatalyst","6.0.536",""
"Microsoft.Maui.Essentials.Ref.win","6.0.536",""
"Microsoft.Maui.Essentials.Runtime.android","6.0.536",""
"Microsoft.Maui.Essentials.Runtime.any","6.0.536",""
"Microsoft.Maui.Essentials.Runtime.ios","6.0.536",""
"Microsoft.Maui.Essentials.Runtime.maccatalyst","6.0.536",""
"Microsoft.Maui.Essentials.Runtime.win","6.0.536",""
"Microsoft.Maui.Extensions","6.0.536",""
"Microsoft.Maui.Graphics","6.0.403",""
"Microsoft.Maui.Graphics.Win2D.WinUI","6.0.403",""
"Microsoft.Maui.Resizetizer.Sdk","6.0.536",""
"Microsoft.Maui.Sdk","6.0.536",""
"Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)","6.0.9.0",""
"Microsoft.NET.Runtime.MonoTargets.Sdk (x64)","6.0.9.0",""
"Microsoft.NET.Sdk.Android.Manifest-6.0.300","128.75.16384",""
"Microsoft.NET.Sdk.Android.Manifest-6.0.400","128.112.0",""
"Microsoft.NET.Sdk.iOS.Manifest-6.0.300","125.191.42208",""
"Microsoft.NET.Sdk.iOS.Manifest-6.0.400","127.251.45662",""
"Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300","125.191.42208",""
"Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.400","127.251.45662",""
"Microsoft.NET.Sdk.macOS.Manifest-6.0.300","100.255.42208",""
"Microsoft.NET.Sdk.macOS.Manifest-6.0.400","102.251.45662",""
"Microsoft.NET.Sdk.Maui.Manifest-6.0.300","24.78.0",""
"Microsoft.NET.Sdk.Maui.Manifest-6.0.400","24.134.0",""
"Microsoft.NET.Sdk.tvOS.Manifest-6.0.300","125.191.42208",""
"Microsoft.NET.Sdk.tvOS.Manifest-6.0.400","127.251.45662",""
"Microsoft.NET.Workload.Emscripten.Manifest (x64)","48.27.47141",""
"Microsoft.NET.Workload.Mono.Toolchain.Manifest (x64)","48.3.47157",""
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.ios-arm (x64)","6.0.9.0",""
